case_id,used_members,missing_members,n_members,prediction
ATLAS_0102,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0102.nii.gz
ATLAS_0113,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0113.nii.gz
ATLAS_0114,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0114.nii.gz
ATLAS_0115,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0115.nii.gz
ATLAS_0121,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0121.nii.gz
ATLAS_0123,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0123.nii.gz
ATLAS_0128,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0128.nii.gz
ATLAS_0138,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0138.nii.gz
ATLAS_0139,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0139.nii.gz
ATLAS_0142,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0142.nii.gz
ATLAS_0145,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0145.nii.gz
ATLAS_0160,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0160.nii.gz
ATLAS_0168,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0168.nii.gz
ATLAS_0170,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0170.nii.gz
ATLAS_0174,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0174.nii.gz
ATLAS_0177,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0177.nii.gz
ATLAS_0180,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0180.nii.gz
ATLAS_0184,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0184.nii.gz
ATLAS_0185,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0185.nii.gz
ATLAS_0186,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0186.nii.gz
ATLAS_0199,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0199.nii.gz
ATLAS_0200,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0200.nii.gz
ATLAS_0216,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0216.nii.gz
ATLAS_0219,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0219.nii.gz
ATLAS_0229,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0229.nii.gz
ATLAS_0230,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0230.nii.gz
ATLAS_0231,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0231.nii.gz
ATLAS_0238,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0238.nii.gz
ATLAS_0240,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0240.nii.gz
ATLAS_0246,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0246.nii.gz
ATLAS_0248,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0248.nii.gz
ATLAS_0249,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0249.nii.gz
ATLAS_0251,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0251.nii.gz
ATLAS_0263,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0263.nii.gz
ATLAS_0265,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0265.nii.gz
ATLAS_0270,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0270.nii.gz
ATLAS_0272,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0272.nii.gz
ATLAS_0277,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0277.nii.gz
ATLAS_0278,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0278.nii.gz
ATLAS_0294,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0294.nii.gz
ATLAS_0296,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0296.nii.gz
ATLAS_0298,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0298.nii.gz
ATLAS_0299,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0299.nii.gz
ATLAS_0305,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0305.nii.gz
ATLAS_0316,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0316.nii.gz
ATLAS_0317,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0317.nii.gz
ATLAS_0323,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0323.nii.gz
ATLAS_0333,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0333.nii.gz
ATLAS_0341,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0341.nii.gz
ATLAS_0344,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0344.nii.gz
ATLAS_0353,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0353.nii.gz
ATLAS_0357,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0357.nii.gz
ATLAS_0360,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0360.nii.gz
ATLAS_0361,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0361.nii.gz
ATLAS_0367,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0367.nii.gz
ATLAS_0372,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0372.nii.gz
ATLAS_0376,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0376.nii.gz
ATLAS_0381,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0381.nii.gz
ATLAS_0385,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0385.nii.gz
ATLAS_0388,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0388.nii.gz
ATLAS_0394,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0394.nii.gz
ATLAS_0398,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0398.nii.gz
ATLAS_0400,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0400.nii.gz
ATLAS_0407,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0407.nii.gz
ATLAS_0409,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0409.nii.gz
ATLAS_0412,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0412.nii.gz
ATLAS_0419,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0419.nii.gz
ATLAS_0426,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0426.nii.gz
ATLAS_0439,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0439.nii.gz
ATLAS_0445,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0445.nii.gz
ATLAS_0446,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0446.nii.gz
ATLAS_0449,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0449.nii.gz
ATLAS_0454,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0454.nii.gz
ATLAS_0463,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0463.nii.gz
ATLAS_0464,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0464.nii.gz
ATLAS_0472,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0472.nii.gz
ATLAS_0473,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0473.nii.gz
ATLAS_0483,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0483.nii.gz
ATLAS_0486,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0486.nii.gz
ATLAS_0497,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0497.nii.gz
ATLAS_0498,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0498.nii.gz
ATLAS_0511,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0511.nii.gz
ATLAS_0514,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0514.nii.gz
ATLAS_0515,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0515.nii.gz
ATLAS_0518,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0518.nii.gz
ATLAS_0519,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0519.nii.gz
ATLAS_0532,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0532.nii.gz
ATLAS_0539,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0539.nii.gz
ATLAS_0546,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0546.nii.gz
ATLAS_0548,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0548.nii.gz
ATLAS_0556,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0556.nii.gz
ATLAS_0565,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0565.nii.gz
ATLAS_0573,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0573.nii.gz
ATLAS_0588,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0588.nii.gz
ATLAS_0594,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0594.nii.gz
ATLAS_0599,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0599.nii.gz
ATLAS_0602,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0602.nii.gz
ATLAS_0604,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0604.nii.gz
ATLAS_0611,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0611.nii.gz
ATLAS_0615,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0615.nii.gz
ATLAS_0617,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0617.nii.gz
ATLAS_0630,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0630.nii.gz
ATLAS_0632,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0632.nii.gz
ATLAS_0634,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0634.nii.gz
ATLAS_0636,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0636.nii.gz
ATLAS_0640,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0640.nii.gz
ATLAS_0649,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0649.nii.gz
ATLAS_0651,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0651.nii.gz
ATLAS_0652,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0652.nii.gz
ATLAS_0654,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0654.nii.gz
ATLAS_0657,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0657.nii.gz
ATLAS_0661,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0661.nii.gz
ATLAS_0666,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0666.nii.gz
ATLAS_0670,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0670.nii.gz
ATLAS_0672,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0672.nii.gz
ATLAS_0673,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0673.nii.gz
ATLAS_0675,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0675.nii.gz
ATLAS_0699,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0699.nii.gz
ATLAS_0705,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0705.nii.gz
ATLAS_0710,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0710.nii.gz
ATLAS_0719,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0719.nii.gz
ATLAS_0720,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0720.nii.gz
ATLAS_0726,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0726.nii.gz
ATLAS_0733,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0733.nii.gz
ATLAS_0736,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0736.nii.gz
ATLAS_0754,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0754.nii.gz
ATLAS_0760,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0760.nii.gz
ATLAS_0767,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0767.nii.gz
ATLAS_0768,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0768.nii.gz
ATLAS_0774,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0774.nii.gz
ATLAS_0776,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0776.nii.gz
ATLAS_0779,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0779.nii.gz
ATLAS_0781,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0781.nii.gz
ATLAS_0783,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0783.nii.gz
ATLAS_0787,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0787.nii.gz
ATLAS_0795,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0795.nii.gz
ATLAS_0799,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0799.nii.gz
ATLAS_0800,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0800.nii.gz
ATLAS_0801,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0801.nii.gz
ATLAS_0804,topk10;default1000;resenc_l,,3,/scratch/users/sciget/isles26challenge/work/nnunet_mapping3_oof_ensemble/folds/fold_0/ATLAS_0804.nii.gz
